Frequency (Hz),FFT Magnitude (dB)
1265.62,-64.266
1266.60,-63.583
1267.58,-63.677
1268.55,-63.952
1269.53,-63.420
1270.51,-65.957
1271.48,-64.421
1272.46,-63.973
1273.44,-65.339
1274.41,-65.182
1275.39,-64.842
1276.37,-64.270
1277.34,-64.686
1278.32,-65.071
1279.30,-65.256
1280.27,-65.767
1281.25,-65.234
1282.23,-65.056
1283.20,-65.326
1284.18,-65.366
1285.16,-65.261
1286.13,-67.006
1287.11,-66.530
1288.09,-64.446
1289.06,-66.775
1290.04,-66.543
1291.02,-66.182
1291.99,-65.735
1292.97,-65.776
1293.95,-65.713
1294.92,-66.559
1295.90,-67.982
1296.88,-65.660
1297.85,-66.885
1298.83,-66.570
1299.80,-65.350
1300.78,-67.217
1301.76,-68.670
1302.73,-66.209
1303.71,-66.631
1304.69,-67.320
1305.66,-67.766
1306.64,-67.294
1307.62,-67.279
1308.59,-66.687
1309.57,-66.834
1310.55,-67.877
1311.52,-67.604
1312.50,-67.483
1313.48,-66.935
1314.45,-67.324
1315.43,-68.921
1316.41,-68.234
1317.38,-67.518
1318.36,-68.089
1319.34,-67.075
1320.31,-68.442
1321.29,-67.556
1322.27,-68.050
1323.24,-67.336
1324.22,-68.071
1325.20,-68.153
1326.17,-68.597
1327.15,-69.039
1328.12,-69.090
1329.10,-68.267
1330.08,-68.677
1331.05,-69.115
1332.03,-69.194
1333.01,-70.003
1333.98,-68.089
1334.96,-68.692
1335.94,-69.938
1336.91,-68.480
1337.89,-69.039
1338.87,-69.400
1339.84,-68.627
1340.82,-69.328
1341.80,-70.495
1342.77,-69.735
1343.75,-70.316
1344.73,-69.814
1345.70,-70.920
1346.68,-69.323
1347.66,-69.760
1348.63,-69.728
1349.61,-70.124
1350.59,-69.852
1351.56,-68.910
1352.54,-69.187
1353.52,-69.329
1354.49,-69.197
1355.47,-69.793
1356.45,-70.300
1357.42,-69.687
1358.40,-69.824
1359.38,-69.276
1360.35,-68.827
1361.33,-69.663
1362.30,-71.034
1363.28,-70.790
1364.26,-69.875
1365.23,-70.295
1366.21,-69.950
1367.19,-69.296
1368.16,-70.537
1369.14,-70.666
1370.12,-70.181
1371.09,-69.405
1372.07,-69.514
1373.05,-70.703
1374.02,-71.138
1375.00,-70.443
1375.98,-70.854
1376.95,-70.339
1377.93,-71.643
1378.91,-71.466
