Frequency (Hz),FFT Magnitude (dB)
1186.52,-70.168
1187.50,-69.214
1188.48,-68.395
1189.45,-70.288
1190.43,-70.192
1191.41,-69.790
1192.38,-69.182
1193.36,-68.587
1194.34,-70.029
1195.31,-69.818
1196.29,-69.478
1197.27,-70.282
1198.24,-72.101
1199.22,-70.536
1200.20,-70.452
1201.17,-70.218
1202.15,-70.302
1203.12,-68.486
1204.10,-70.485
1205.08,-69.609
1206.05,-69.103
1207.03,-70.400
1208.01,-68.385
1208.98,-69.974
1209.96,-69.303
1210.94,-69.994
1211.91,-68.533
1212.89,-68.398
1213.87,-69.492
1214.84,-69.371
1215.82,-69.613
1216.80,-68.507
1217.77,-69.195
1218.75,-69.323
1219.73,-69.803
1220.70,-69.688
1221.68,-69.985
1222.66,-69.867
1223.63,-69.549
1224.61,-69.099
1225.59,-68.982
1226.56,-70.084
1227.54,-69.464
1228.52,-70.391
1229.49,-69.685
1230.47,-68.612
1231.45,-69.351
1232.42,-69.260
1233.40,-69.183
1234.38,-68.620
1235.35,-70.018
1236.33,-68.828
1237.30,-69.128
1238.28,-68.723
1239.26,-68.644
1240.23,-68.364
1241.21,-68.002
1242.19,-67.858
1243.16,-68.264
1244.14,-67.475
1245.12,-68.191
1246.09,-69.591
1247.07,-67.504
1248.05,-67.923
1249.02,-69.493
1250.00,-67.966
1250.98,-67.961
1251.95,-67.642
1252.93,-69.543
1253.91,-68.738
1254.88,-68.990
1255.86,-68.327
1256.84,-68.338
1257.81,-67.629
1258.79,-67.648
1259.77,-67.892
1260.74,-68.946
1261.72,-67.693
1262.70,-69.035
1263.67,-68.047
1264.65,-67.450
1265.62,-67.287
1266.60,-67.443
1267.58,-67.169
1268.55,-67.056
1269.53,-67.153
1270.51,-67.173
1271.48,-67.442
1272.46,-67.314
1273.44,-67.501
1274.41,-66.360
1275.39,-67.420
1276.37,-68.542
1277.34,-67.884
1278.32,-66.997
1279.30,-67.628
1280.27,-67.178
1281.25,-66.074
1282.23,-66.651
1283.20,-65.549
1284.18,-66.217
1285.16,-66.338
1286.13,-65.678
1287.11,-65.779
1288.09,-66.701
1289.06,-64.772
1290.04,-66.161
1291.02,-66.485
1291.99,-66.364
1292.97,-66.192
1293.95,-65.602
1294.92,-65.617
1295.90,-65.528
1296.88,-65.022
1297.85,-65.043
1298.83,-64.455
1299.80,-65.712
1300.78,-65.443
1301.76,-65.019
1302.73,-64.935
1303.71,-65.009
1304.69,-65.495
1305.66,-65.085
1306.64,-65.627
1307.62,-64.964
1308.59,-62.945
1309.57,-63.388
1310.55,-63.155
1311.52,-63.173
1312.50,-64.258
1313.48,-65.286
1314.45,-63.245
1315.43,-63.681
1316.41,-65.084
1317.38,-64.642
1318.36,-64.252
1319.34,-63.291
1320.31,-63.419
1321.29,-62.103
1322.27,-63.014
1323.24,-63.030
1324.22,-62.835
1325.20,-62.822
1326.17,-63.492
1327.15,-62.291
1328.12,-62.583
1329.10,-62.826
1330.08,-62.867
1331.05,-62.850
1332.03,-61.893
1333.01,-61.095
1333.98,-61.915
1334.96,-60.933
1335.94,-61.914
1336.91,-62.535
1337.89,-60.954
1338.87,-62.490
1339.84,-60.864
1340.82,-61.220
1341.80,-60.445
1342.77,-60.758
1343.75,-59.927
1344.73,-59.261
1345.70,-60.721
1346.68,-61.234
1347.66,-59.465
1348.63,-59.822
1349.61,-59.984
1350.59,-61.134
1351.56,-59.779
1352.54,-59.426
1353.52,-59.258
1354.49,-59.175
1355.47,-60.613
1356.45,-59.295
1357.42,-58.176
1358.40,-57.689
1359.38,-58.303
1360.35,-58.128
1361.33,-58.966
1362.30,-57.609
1363.28,-57.265
1364.26,-57.446
1365.23,-57.058
1366.21,-57.466
1367.19,-57.294
1368.16,-57.804
1369.14,-56.414
1370.12,-55.436
1371.09,-57.403
1372.07,-56.403
1373.05,-56.496
1374.02,-55.474
1375.00,-55.511
1375.98,-54.727
1376.95,-54.755
1377.93,-54.282
1378.91,-54.523
1379.88,-54.128
1380.86,-53.624
1381.84,-53.797
1382.81,-53.128
1383.79,-52.920
1384.77,-53.121
1385.74,-51.916
1386.72,-54.018
1387.70,-54.110
1388.67,-54.352
1389.65,-52.470
1390.62,-51.806
1391.60,-51.730
1392.58,-51.726
1393.55,-53.029
1394.53,-52.483
1395.51,-52.051
1396.48,-51.696
1397.46,-51.673
1398.44,-51.455
1399.41,-52.489
1400.39,-52.165
1401.37,-52.846
1402.34,-54.377
1403.32,-52.809
1404.30,-51.951
1405.27,-51.925
1406.25,-53.621
1407.23,-52.861
1408.20,-52.765
1409.18,-52.206
1410.16,-53.116
1411.13,-53.479
1412.11,-53.297
1413.09,-53.803
1414.06,-54.301
1415.04,-54.315
1416.02,-54.567
1416.99,-55.081
1417.97,-54.740
1418.95,-56.354
1419.92,-55.744
1420.90,-55.362
1421.88,-55.411
1422.85,-55.333
1423.83,-55.579
1424.80,-55.070
1425.78,-55.443
1426.76,-55.772
1427.73,-55.433
1428.71,-55.645
1429.69,-57.755
1430.66,-57.890
1431.64,-56.165
1432.62,-57.002
1433.59,-56.900
1434.57,-57.215
1435.55,-57.483
1436.52,-57.540
1437.50,-57.666
1438.48,-57.646
1439.45,-58.059
1440.43,-58.805
1441.41,-57.924
1442.38,-58.832
1443.36,-59.184
1444.34,-59.384
1445.31,-59.343
1446.29,-59.298
1447.27,-60.610
1448.24,-59.783
1449.22,-59.483
1450.20,-59.858
1451.17,-60.039
1452.15,-60.228
1453.12,-59.612
1454.10,-60.052
1455.08,-60.545
