Frequency (Hz),FFT Magnitude (dB)
1201.17,-66.107
1202.15,-64.740
1203.12,-63.988
1204.10,-64.735
1205.08,-65.682
1206.05,-66.280
1207.03,-66.334
1208.01,-64.944
1208.98,-65.914
1209.96,-66.688
1210.94,-66.050
1211.91,-67.395
1212.89,-66.722
1213.87,-66.429
1214.84,-66.274
1215.82,-66.781
1216.80,-66.176
1217.77,-66.297
1218.75,-67.427
1219.73,-66.479
1220.70,-66.256
1221.68,-65.993
1222.66,-67.239
1223.63,-66.941
1224.61,-67.320
1225.59,-67.044
1226.56,-66.579
1227.54,-68.032
1228.52,-67.051
1229.49,-67.890
1230.47,-66.913
1231.45,-68.306
1232.42,-67.273
1233.40,-67.724
1234.38,-66.670
1235.35,-67.284
1236.33,-67.247
1237.30,-68.055
1238.28,-67.821
1239.26,-67.429
1240.23,-68.194
1241.21,-67.768
1242.19,-67.402
1243.16,-67.790
1244.14,-68.149
1245.12,-66.587
1246.09,-67.817
1247.07,-69.036
1248.05,-69.734
1249.02,-68.063
1250.00,-67.974
1250.98,-68.419
1251.95,-69.058
1252.93,-68.162
1253.91,-68.409
1254.88,-69.664
1255.86,-67.857
1256.84,-69.161
1257.81,-68.099
1258.79,-69.519
1259.77,-69.361
1260.74,-69.391
1261.72,-69.360
1262.70,-69.221
1263.67,-68.300
1264.65,-68.777
1265.62,-68.933
1266.60,-69.299
1267.58,-69.664
1268.55,-69.208
1269.53,-68.022
1270.51,-69.285
1271.48,-68.798
1272.46,-69.396
1273.44,-69.245
1274.41,-69.256
1275.39,-69.285
1276.37,-69.294
1277.34,-69.198
1278.32,-69.024
1279.30,-70.375
1280.27,-69.737
1281.25,-70.138
1282.23,-69.528
1283.20,-68.863
1284.18,-69.949
1285.16,-69.029
1286.13,-68.818
1287.11,-69.661
1288.09,-69.978
1289.06,-68.646
1290.04,-69.420
1291.02,-69.516
1291.99,-68.753
1292.97,-69.769
1293.95,-70.626
1294.92,-69.199
1295.90,-69.703
